"Folio";"Numero Piece";"Date Piece";"Montant Fichier";"Montant Oracle";"Montant Interface";"Statut"
"ING";"0551R26071388";"01/07/2026";"1706,45";"1706,45";"1706,45";"INTEGREE"
"ING";"0551R26071523";"01/07/2026";"510,16";"510,16";"510,16";"INTEGREE"
"ING";"0551R26071376";"01/07/2026";"310,86";"310,86";"310,86";"INTEGREE"
"ING";"0551R26071377";"01/07/2026";"1320,05";"1320,05";"1320,05";"INTEGREE"
"ING";"0551R26071379";"01/07/2026";"669,91";"669,91";"669,91";"INTEGREE"
"ING";"0551R26071463";"01/07/2026";"1413,55";"1413,55";"1413,55";"INTEGREE"
"ING";"0551R26071524";"01/07/2026";"1870,18";"1870,18";"1870,18";"INTEGREE"
"ING";"0551R26071383";"01/07/2026";"1753,88";"1753,88";"1753,88";"INTEGREE"
"ING";"0551R26071365";"01/07/2026";"1879,64";"1879,64";"1879,64";"INTEGREE"
"ING";"0551R26071506";"01/07/2026";"1003,22";"1003,22";"1003,22";"INTEGREE"
"ING";"0551R26071507";"01/07/2026";"1946,7";"1946,7";"1946,7";"INTEGREE"
"ING";"0551R26071452";"01/07/2026";"1432,21";"1432,21";"1432,21";"INTEGREE"
"ING";"0551R26071404";"01/07/2026";"304,98";"304,98";"304,98";"INTEGREE"
"ING";"0551R26071405";"01/07/2026";"965,94";"965,94";"965,94";"INTEGREE"
"ING";"0551R26071406";"01/07/2026";"529,01";"529,01";"529,01";"INTEGREE"
"ING";"0551R26071407";"01/07/2026";"538,58";"538,58";"538,58";"INTEGREE"
"ING";"0551R26071408";"01/07/2026";"127,62";"127,62";"127,62";"INTEGREE"
"ING";"0551R26071409";"01/07/2026";"638,09";"638,09";"638,09";"INTEGREE"
"ING";"0551R26071410";"01/07/2026";"197,15";"197,15";"197,15";"INTEGREE"
"ING";"0551R26071412";"01/07/2026";"418,69";"418,69";"418,69";"INTEGREE"
"ING";"0551R26071413";"01/07/2026";"127,62";"127,62";"127,62";"INTEGREE"
